gene_id,gene_symbol,split_name,rescue_positive_label,label_status,evidence_source_id,evidence_note
ENSG00000004777,ARHGAP33,train,0,unlabeled_background,,
ENSG00000004779,NDUFAB1,train,0,unlabeled_background,,
ENSG00000004799,PDK4,train,0,unlabeled_background,,
ENSG00000004838,ZMYND10,train,0,unlabeled_background,,
ENSG00000004846,ABCB5,train,0,unlabeled_background,,
ENSG00000004848,ARX,validation,0,unlabeled_background,,
ENSG00000004864,SLC25A13,train,0,unlabeled_background,,
ENSG00000004866,ST7,train,0,unlabeled_background,,
ENSG00000004897,CDC27,train,0,unlabeled_background,,
ENSG00000004961,HCCS,train,0,unlabeled_background,,
ENSG00000004975,DVL2,train,0,unlabeled_background,,
ENSG00000005007,UPF1,train,0,unlabeled_background,,
ENSG00000005020,SKAP2,validation,0,unlabeled_background,,
ENSG00000005022,SLC25A5,train,0,unlabeled_background,,
ENSG00000005059,CCDC109B,train,0,unlabeled_background,,
ENSG00000005075,POLR2J,test,0,unlabeled_background,,
ENSG00000005100,DHX33,train,0,unlabeled_background,,
ENSG00000005108,THSD7A,train,0,unlabeled_background,,
ENSG00000005156,LIG3,train,0,unlabeled_background,,
ENSG00000005175,RPAP3,train,0,unlabeled_background,,
ENSG00000005187,ACSM3,train,0,unlabeled_background,,
ENSG00000005194,CIAPIN1,test,0,unlabeled_background,,
ENSG00000005206,SPPL2B,train,0,unlabeled_background,,
ENSG00000005238,FAM214B,validation,0,unlabeled_background,,
ENSG00000005243,COPZ2,train,0,unlabeled_background,,
ENSG00000005249,PRKAR2B,validation,0,unlabeled_background,,
ENSG00000005302,MSL3,validation,0,unlabeled_background,,
ENSG00000005339,CREBBP,validation,0,unlabeled_background,,
ENSG00000005379,BZRAP1,train,0,unlabeled_background,,
ENSG00000005421,PON1,test,0,unlabeled_background,,
ENSG00000005436,GCFC2,test,0,unlabeled_background,,
ENSG00000005448,WDR54,validation,0,unlabeled_background,,
ENSG00000005469,CROT,train,0,unlabeled_background,,
ENSG00000005471,ABCB4,train,0,unlabeled_background,,
ENSG00000005483,KMT2E,train,0,unlabeled_background,,
ENSG00000005486,RHBDD2,validation,0,unlabeled_background,,
ENSG00000005513,SOX8,train,0,unlabeled_background,,
ENSG00000005700,IBTK,train,0,unlabeled_background,,
ENSG00000005801,ZNF195,train,0,unlabeled_background,,
ENSG00000005810,MYCBP2,train,0,unlabeled_background,,
ENSG00000005812,FBXL3,train,0,unlabeled_background,,
ENSG00000005882,PDK2,train,0,unlabeled_background,,
ENSG00000005884,ITGA3,train,0,unlabeled_background,,
ENSG00000005889,ZFX,train,0,unlabeled_background,,
ENSG00000005893,LAMP2,train,0,unlabeled_background,,
ENSG00000005955,GGNBP2,train,0,unlabeled_background,,
ENSG00000005961,ITGA2B,train,0,unlabeled_background,,
ENSG00000006007,GDE1,train,0,unlabeled_background,,
ENSG00000006015,C19orf60,train,0,unlabeled_background,,
ENSG00000006016,CRLF1,test,0,unlabeled_background,,
ENSG00000006025,OSBPL7,train,0,unlabeled_background,,
ENSG00000006042,TMEM98,train,0,unlabeled_background,,
ENSG00000006047,YBX2,train,0,unlabeled_background,,
ENSG00000006062,MAP3K14,validation,0,unlabeled_background,,
ENSG00000006071,ABCC8,train,0,unlabeled_background,,
ENSG00000006114,SYNRG,validation,0,unlabeled_background,,
ENSG00000006118,TMEM132A,validation,0,unlabeled_background,,
ENSG00000006125,AP2B1,train,0,unlabeled_background,,
ENSG00000006194,ZNF263,train,0,unlabeled_background,,
ENSG00000006210,CX3CL1,validation,0,unlabeled_background,,
ENSG00000006282,SPATA20,train,0,unlabeled_background,,
ENSG00000006283,CACNA1G,train,0,unlabeled_background,,
ENSG00000006327,TNFRSF12A,train,0,unlabeled_background,,
ENSG00000006432,MAP3K9,train,0,unlabeled_background,,
ENSG00000006451,RALA,train,0,unlabeled_background,,
ENSG00000006453,BAIAP2L1,test,0,unlabeled_background,,
ENSG00000006459,JHDM1D,train,0,unlabeled_background,,
ENSG00000006468,ETV1,train,0,unlabeled_background,,
ENSG00000006530,AGK,test,0,unlabeled_background,,
ENSG00000006534,ALDH3B1,train,0,unlabeled_background,,
ENSG00000006576,PHTF2,train,0,unlabeled_background,,
ENSG00000006607,FARP2,test,0,unlabeled_background,,
ENSG00000006625,GGCT,train,0,unlabeled_background,,
ENSG00000006634,DBF4,validation,0,unlabeled_background,,
ENSG00000006652,IFRD1,train,0,unlabeled_background,,
ENSG00000006695,COX10,train,0,unlabeled_background,,
ENSG00000006704,GTF2IRD1,train,0,unlabeled_background,,
ENSG00000006712,PAF1,train,0,unlabeled_background,,
ENSG00000006715,VPS41,test,0,unlabeled_background,,
ENSG00000006740,ARHGAP44,test,0,unlabeled_background,,
ENSG00000006744,ELAC2,train,0,unlabeled_background,,
ENSG00000006756,ARSD,validation,0,unlabeled_background,,
ENSG00000006757,PNPLA4,train,0,unlabeled_background,,
ENSG00000006831,ADIPOR2,test,0,unlabeled_background,,
ENSG00000006837,CDKL3,train,0,unlabeled_background,,
ENSG00000007047,MARK4,train,0,unlabeled_background,,
ENSG00000007062,PROM1,train,0,unlabeled_background,,
ENSG00000007080,CCDC124,train,0,unlabeled_background,,
ENSG00000007168,PAFAH1B1,train,0,unlabeled_background,,
ENSG00000007174,DNAH9,train,0,unlabeled_background,,
ENSG00000007202,KIAA0100,train,0,unlabeled_background,,
ENSG00000007237,GAS7,train,0,unlabeled_background,,
ENSG00000007255,TRAPPC6A,validation,0,unlabeled_background,,
ENSG00000007341,ST7L,validation,0,unlabeled_background,,
ENSG00000007350,TKTL1,train,0,unlabeled_background,,
ENSG00000007372,PAX6,train,0,unlabeled_background,,
ENSG00000007376,RPUSD1,test,0,unlabeled_background,,
ENSG00000007384,RHBDF1,validation,0,unlabeled_background,,
ENSG00000007392,LUC7L,test,0,unlabeled_background,,
ENSG00000007402,CACNA2D2,test,0,unlabeled_background,,
ENSG00000007516,BAIAP3,test,0,unlabeled_background,,
ENSG00000007520,TSR3,train,0,unlabeled_background,,
ENSG00000007541,PIGQ,train,0,unlabeled_background,,
ENSG00000007545,CRAMP1L,train,0,unlabeled_background,,
ENSG00000007866,TEAD3,test,0,unlabeled_background,,
ENSG00000007923,DNAJC11,test,0,unlabeled_background,,
ENSG00000007944,MYLIP,test,0,unlabeled_background,,
ENSG00000007968,E2F2,validation,0,unlabeled_background,,
ENSG00000008018,PSMB1,train,0,unlabeled_background,,
ENSG00000008056,SYN1,train,0,unlabeled_background,,
ENSG00000008083,JARID2,train,0,unlabeled_background,,
ENSG00000008086,CDKL5,validation,0,unlabeled_background,,
ENSG00000008118,CAMK1G,train,0,unlabeled_background,,
ENSG00000008128,CDK11A,train,0,unlabeled_background,,
ENSG00000008130,NADK,validation,0,unlabeled_background,,
ENSG00000008196,TFAP2B,train,0,unlabeled_background,,
ENSG00000008226,DLEC1,train,0,unlabeled_background,,
ENSG00000008256,CYTH3,train,0,unlabeled_background,,
ENSG00000008277,ADAM22,train,0,unlabeled_background,,
ENSG00000008282,SYPL1,train,0,unlabeled_background,,
ENSG00000008283,CYB561,train,0,unlabeled_background,,
ENSG00000008294,SPAG9,validation,0,unlabeled_background,,
ENSG00000008300,CELSR3,train,0,unlabeled_background,,
ENSG00000008311,AASS,train,0,unlabeled_background,,
ENSG00000008323,PLEKHG6,test,0,unlabeled_background,,
ENSG00000008324,SS18L2,validation,0,unlabeled_background,,
ENSG00000008382,MPND,train,0,unlabeled_background,,
ENSG00000008394,MGST1,train,0,unlabeled_background,,
ENSG00000008405,CRY1,train,0,unlabeled_background,,
ENSG00000008441,NFIX,train,0,unlabeled_background,,
ENSG00000008513,ST3GAL1,train,0,unlabeled_background,,
ENSG00000008516,MMP25,train,0,unlabeled_background,,
ENSG00000008710,PKD1,train,0,unlabeled_background,,
ENSG00000008735,MAPK8IP2,train,0,unlabeled_background,,
ENSG00000008838,MED24,train,0,unlabeled_background,,
ENSG00000008853,RHOBTB2,train,0,unlabeled_background,,
ENSG00000008869,HEATR5B,test,0,unlabeled_background,,
ENSG00000008952,SEC62,train,0,unlabeled_background,,
ENSG00000008988,RPS20,train,0,unlabeled_background,,
ENSG00000009307,CSDE1,test,0,unlabeled_background,,
ENSG00000009335,UBE3C,train,0,unlabeled_background,,
ENSG00000009413,REV3L,test,0,unlabeled_background,,
ENSG00000009694,TENM1,train,0,unlabeled_background,,
ENSG00000009709,PAX7,validation,0,unlabeled_background,,
ENSG00000009724,MASP2,validation,0,unlabeled_background,,
ENSG00000009780,FAM76A,train,0,unlabeled_background,,
ENSG00000009790,TRAF3IP3,train,0,unlabeled_background,,
ENSG00000009830,POMT2,train,0,unlabeled_background,,
ENSG00000009844,VTA1,train,0,unlabeled_background,,
ENSG00000009954,BAZ1B,train,0,unlabeled_background,,
ENSG00000010017,RANBP9,test,0,unlabeled_background,,
ENSG00000010072,SPRTN,train,0,unlabeled_background,,
ENSG00000010165,METTL13,test,0,unlabeled_background,,
ENSG00000010219,DYRK4,train,0,unlabeled_background,,
ENSG00000010244,ZNF207,train,0,unlabeled_background,,
ENSG00000010256,UQCRC1,train,0,unlabeled_background,,
ENSG00000010270,STARD3NL,validation,0,unlabeled_background,,
ENSG00000010278,CD9,train,0,unlabeled_background,,
ENSG00000010292,NCAPD2,test,0,unlabeled_background,,
ENSG00000010295,IFFO1,test,0,unlabeled_background,,
ENSG00000010310,GIPR,train,0,unlabeled_background,,
ENSG00000010318,PHF7,train,0,unlabeled_background,,
ENSG00000010322,NISCH,train,0,unlabeled_background,,
ENSG00000010361,FUZ,validation,0,unlabeled_background,,
ENSG00000010404,IDS,train,0,unlabeled_background,,
ENSG00000010539,ZNF200,train,0,unlabeled_background,,
ENSG00000010610,CD4,train,0,unlabeled_background,,
ENSG00000010626,LRRC23,train,0,unlabeled_background,,
ENSG00000010704,HFE,validation,0,unlabeled_background,,
ENSG00000010803,SCMH1,train,0,unlabeled_background,,
ENSG00000010810,FYN,train,0,unlabeled_background,,
ENSG00000010818,HIVEP2,test,0,unlabeled_background,,
ENSG00000011007,TCEB3,train,0,unlabeled_background,,
ENSG00000011009,LYPLA2,test,0,unlabeled_background,,
ENSG00000011021,CLCN6,train,0,unlabeled_background,,
ENSG00000011028,MRC2,validation,0,unlabeled_background,,
ENSG00000011052,NME2,train,0,unlabeled_background,,
ENSG00000011105,TSPAN9,train,0,unlabeled_background,,
ENSG00000011114,BTBD7,train,0,unlabeled_background,,
ENSG00000011132,APBA3,train,0,unlabeled_background,,
ENSG00000011143,MKS1,train,0,unlabeled_background,,
ENSG00000011198,ABHD5,train,0,unlabeled_background,,
ENSG00000011201,KAL1,train,0,unlabeled_background,,
ENSG00000011243,AKAP8L,train,0,unlabeled_background,,
ENSG00000011258,MBTD1,validation,0,unlabeled_background,,
ENSG00000011260,UTP18,validation,0,unlabeled_background,,
ENSG00000011275,RNF216,test,0,unlabeled_background,,
ENSG00000011295,TTC19,test,0,unlabeled_background,,
ENSG00000011304,PTBP1,test,0,unlabeled_background,,
ENSG00000011332,DPF1,train,0,unlabeled_background,,
ENSG00000011347,SYT7,test,0,unlabeled_background,,
ENSG00000011376,LARS2,train,0,unlabeled_background,,
ENSG00000011405,PIK3C2A,train,0,unlabeled_background,,
ENSG00000011422,PLAUR,train,0,unlabeled_background,,
ENSG00000011426,ANLN,validation,0,unlabeled_background,,
ENSG00000011451,WIZ,train,0,unlabeled_background,,
ENSG00000011454,RABGAP1,train,0,unlabeled_background,,
ENSG00000011465,DCN,train,0,unlabeled_background,,
ENSG00000011478,QPCTL,test,0,unlabeled_background,,
ENSG00000011485,PPP5C,train,0,unlabeled_background,,
ENSG00000011523,CEP68,validation,0,unlabeled_background,,
ENSG00000011566,MAP4K3,train,0,unlabeled_background,,
ENSG00000011590,ZBTB32,train,0,unlabeled_background,,
ENSG00000011638,TMEM159,validation,0,unlabeled_background,,
ENSG00000011677,GABRA3,test,0,unlabeled_background,,
ENSG00000012048,BRCA1,train,0,unlabeled_background,,
ENSG00000012061,ERCC1,train,0,unlabeled_background,,
ENSG00000012171,SEMA3B,train,0,unlabeled_background,,
ENSG00000012174,MBTPS2,train,0,unlabeled_background,,
ENSG00000012232,EXTL3,train,0,unlabeled_background,,
ENSG00000012660,ELOVL5,test,0,unlabeled_background,,
ENSG00000012817,KDM5D,train,0,unlabeled_background,,
ENSG00000012822,CALCOCO1,validation,0,unlabeled_background,,
ENSG00000012963,UBR7,train,0,unlabeled_background,,
ENSG00000012983,MAP4K5,train,0,unlabeled_background,,
ENSG00000013016,EHD3,train,0,unlabeled_background,,
ENSG00000013275,PSMC4,train,0,unlabeled_background,,
ENSG00000013288,MAN2B2,train,0,unlabeled_background,,
ENSG00000013293,SLC7A14,train,0,unlabeled_background,,
ENSG00000013306,SLC25A39,train,0,unlabeled_background,,
ENSG00000013364,MVP,test,0,unlabeled_background,,
ENSG00000013374,NUB1,test,0,unlabeled_background,,
ENSG00000013375,PGM3,validation,0,unlabeled_background,,
ENSG00000013392,RWDD2A,test,0,unlabeled_background,,
ENSG00000013441,CLK1,train,0,unlabeled_background,,
ENSG00000013503,POLR3B,test,0,unlabeled_background,,
ENSG00000013523,ANGEL1,train,0,unlabeled_background,,
ENSG00000013561,RNF14,train,0,unlabeled_background,,
ENSG00000013563,DNASE1L1,train,0,unlabeled_background,,
ENSG00000013573,DDX11,train,0,unlabeled_background,,
ENSG00000013583,HEBP1,train,0,unlabeled_background,,
ENSG00000013619,MAMLD1,train,0,unlabeled_background,,
ENSG00000013810,TACC3,train,0,unlabeled_background,,
ENSG00000014123,UFL1,train,0,unlabeled_background,,
ENSG00000014138,POLA2,train,0,unlabeled_background,,
ENSG00000014164,ZC3H3,train,0,unlabeled_background,,
ENSG00000014216,CAPN1,train,0,unlabeled_background,,
ENSG00000014641,MDH1,validation,0,unlabeled_background,,
ENSG00000014824,SLC30A9,train,0,unlabeled_background,,
ENSG00000014914,MTMR11,train,0,unlabeled_background,,
ENSG00000014919,COX15,train,0,unlabeled_background,,
ENSG00000015133,CCDC88C,train,0,unlabeled_background,,
ENSG00000015153,YAF2,train,0,unlabeled_background,,
ENSG00000015171,ZMYND11,train,0,unlabeled_background,,
ENSG00000015285,WAS,train,0,unlabeled_background,,
ENSG00000015475,BID,train,0,unlabeled_background,,
ENSG00000015479,MATR3,test,0,unlabeled_background,,
ENSG00000015532,XYLT2,test,0,unlabeled_background,,
ENSG00000015568,RGPD5,validation,0,unlabeled_background,,
ENSG00000015592,STMN4,train,0,unlabeled_background,,
ENSG00000015676,NUDCD3,train,0,unlabeled_background,,
ENSG00000016391,CHDH,train,0,unlabeled_background,,
ENSG00000016864,GLT8D1,test,0,unlabeled_background,,
ENSG00000017260,ATP2C1,train,0,unlabeled_background,,
ENSG00000017373,SRCIN1,train,0,unlabeled_background,,
ENSG00000017427,IGF1,test,0,unlabeled_background,,
ENSG00000017797,RALBP1,train,0,unlabeled_background,,
ENSG00000018189,RUFY3,train,0,unlabeled_background,,
ENSG00000018236,CNTN1,test,0,unlabeled_background,,
ENSG00000018408,WWTR1,validation,0,unlabeled_background,,
ENSG00000018510,AGPS,train,0,unlabeled_background,,
ENSG00000018607,ZNF806,train,0,unlabeled_background,,
ENSG00000018610,CXorf56,train,0,unlabeled_background,,
ENSG00000018625,ATP1A2,test,0,unlabeled_background,,
ENSG00000018699,TTC27,validation,0,unlabeled_background,,
ENSG00000018869,ZNF582,validation,0,unlabeled_background,,
ENSG00000019102,VSIG2,test,0,unlabeled_background,,
ENSG00000019144,PHLDB1,train,0,unlabeled_background,,
ENSG00000019485,PRDM11,validation,0,unlabeled_background,,
ENSG00000019505,SYT13,train,0,unlabeled_background,,
ENSG00000019549,SNAI2,validation,0,unlabeled_background,,
ENSG00000019582,CD74,test,0,unlabeled_background,,
ENSG00000019991,HGF,train,0,unlabeled_background,,
ENSG00000019995,ZRANB1,validation,0,unlabeled_background,,
ENSG00000020129,NCDN,test,0,unlabeled_background,,
ENSG00000020181,GPR124,train,0,unlabeled_background,,
ENSG00000020256,ZFP64,train,0,unlabeled_background,,
ENSG00000020426,MNAT1,train,0,unlabeled_background,,
ENSG00000020577,SAMD4A,validation,0,unlabeled_background,,
ENSG00000020922,MRE11A,train,0,unlabeled_background,,
ENSG00000021300,PLEKHB1,validation,0,unlabeled_background,,
ENSG00000021355,SERPINB1,train,0,unlabeled_background,,
ENSG00000021488,SLC7A9,test,0,unlabeled_background,,
ENSG00000021574,SPAST,validation,0,unlabeled_background,,
ENSG00000021645,NRXN3,train,0,unlabeled_background,,
ENSG00000021762,OSBPL5,train,0,unlabeled_background,,
ENSG00000021776,AQR,train,0,unlabeled_background,,
ENSG00000021826,CPS1,train,0,unlabeled_background,,
ENSG00000022267,FHL1,train,0,unlabeled_background,,
ENSG00000022277,RTFDC1,train,0,unlabeled_background,,
ENSG00000022556,NLRP2,train,0,unlabeled_background,,
ENSG00000022567,SLC45A4,train,0,unlabeled_background,,
ENSG00000022840,RNF10,train,0,unlabeled_background,,
ENSG00000022976,ZNF839,train,0,unlabeled_background,,
ENSG00000023041,ZDHHC6,validation,0,unlabeled_background,,
ENSG00000023171,GRAMD1B,test,0,unlabeled_background,,
ENSG00000023191,RNH1,train,0,unlabeled_background,,
ENSG00000023228,NDUFS1,train,0,unlabeled_background,,
ENSG00000023287,RB1CC1,train,0,unlabeled_background,,
ENSG00000023318,ERP44,train,0,unlabeled_background,,
ENSG00000023330,ALAS1,train,0,unlabeled_background,,
ENSG00000023516,AKAP11,train,0,unlabeled_background,,
ENSG00000023572,GLRX2,train,0,unlabeled_background,,
ENSG00000023608,SNAPC1,train,0,unlabeled_background,,
ENSG00000023697,DERA,train,0,unlabeled_background,,
ENSG00000023734,STRAP,train,0,unlabeled_background,,
ENSG00000023839,ABCC2,train,0,unlabeled_background,,
ENSG00000023902,PLEKHO1,validation,0,unlabeled_background,,
ENSG00000023909,GCLM,train,0,unlabeled_background,,
ENSG00000024048,UBR2,test,0,unlabeled_background,,
ENSG00000024422,EHD2,train,0,unlabeled_background,,
ENSG00000024526,DEPDC1,train,0,unlabeled_background,,
ENSG00000024862,CCDC28A,train,0,unlabeled_background,,
ENSG00000025039,RRAGD,test,0,unlabeled_background,,
ENSG00000025156,HSF2,train,0,unlabeled_background,,
ENSG00000025293,PHF20,train,0,unlabeled_background,,
ENSG00000025423,HSD17B6,train,0,unlabeled_background,,
ENSG00000025434,NR1H3,test,0,unlabeled_background,,
ENSG00000025708,TYMP,train,0,unlabeled_background,,
ENSG00000025770,NCAPH2,train,0,unlabeled_background,,
ENSG00000025772,TOMM34,test,0,unlabeled_background,,
ENSG00000025796,SEC63,train,0,unlabeled_background,,
ENSG00000025800,KPNA6,train,0,unlabeled_background,,
ENSG00000026025,VIM,test,0,unlabeled_background,,
ENSG00000026036,RTEL1-TNFRSF6B,validation,0,unlabeled_background,,
ENSG00000026103,FAS,validation,0,unlabeled_background,,
ENSG00000026297,RNASET2,train,0,unlabeled_background,,
ENSG00000026508,CD44,train,0,unlabeled_background,,
ENSG00000026559,KCNG1,train,0,unlabeled_background,,
ENSG00000026652,AGPAT4,train,0,unlabeled_background,,
ENSG00000026950,BTN3A1,train,0,unlabeled_background,,
ENSG00000027001,MIPEP,train,0,unlabeled_background,,
ENSG00000027697,IFNGR1,train,0,unlabeled_background,,
ENSG00000027847,B4GALT7,train,0,unlabeled_background,,
ENSG00000028116,VRK2,train,0,unlabeled_background,,
ENSG00000028137,TNFRSF1B,test,0,unlabeled_background,,
ENSG00000028203,VEZT,test,0,unlabeled_background,,
ENSG00000028277,POU2F2,test,0,unlabeled_background,,
ENSG00000028310,BRD9,test,0,unlabeled_background,,
ENSG00000028528,SNX1,validation,0,unlabeled_background,,
ENSG00000028839,TBPL1,train,0,unlabeled_background,,
ENSG00000029153,ARNTL2,train,0,unlabeled_background,,
ENSG00000029363,BCLAF1,train,0,unlabeled_background,,
ENSG00000029364,SLC39A9,validation,0,unlabeled_background,,
ENSG00000029534,ANK1,test,0,unlabeled_background,,
ENSG00000029639,TFB1M,test,0,unlabeled_background,,
ENSG00000029725,RABEP1,test,0,unlabeled_background,,
ENSG00000029993,HMGB3,train,0,unlabeled_background,,
ENSG00000030066,NUP160,train,0,unlabeled_background,,
ENSG00000030110,BAK1,validation,0,unlabeled_background,,
ENSG00000030419,IKZF2,train,0,unlabeled_background,,
ENSG00000030582,GRN,train,0,unlabeled_background,,
ENSG00000031003,FAM13B,train,0,unlabeled_background,,
ENSG00000031081,ARHGAP31,train,0,unlabeled_background,,
ENSG00000031544,NR2E3,train,0,unlabeled_background,,
ENSG00000031691,CENPQ,train,0,unlabeled_background,,
ENSG00000031698,SARS,train,0,unlabeled_background,,
ENSG00000031823,RANBP3,train,0,unlabeled_background,,
ENSG00000032219,ARID4A,train,0,unlabeled_background,,
ENSG00000032389,TSSC1,validation,0,unlabeled_background,,
ENSG00000032444,PNPLA6,test,0,unlabeled_background,,
ENSG00000032742,IFT88,train,0,unlabeled_background,,
ENSG00000033011,ALG1,train,0,unlabeled_background,,
ENSG00000033030,ZCCHC8,test,0,unlabeled_background,,
ENSG00000033050,ABCF2,train,0,unlabeled_background,,
ENSG00000033100,CHPF2,test,0,unlabeled_background,,
ENSG00000033122,LRRC7,validation,0,unlabeled_background,,
ENSG00000033170,FUT8,train,0,unlabeled_background,,
ENSG00000033178,UBA6,train,0,unlabeled_background,,
ENSG00000033327,GAB2,validation,0,unlabeled_background,,
ENSG00000033627,ATP6V0A1,train,0,unlabeled_background,,
ENSG00000033800,PIAS1,train,0,unlabeled_background,,
ENSG00000033867,SLC4A7,train,0,unlabeled_background,,
ENSG00000034053,APBA2,train,0,unlabeled_background,,
ENSG00000034063,UHRF1,test,0,unlabeled_background,,
ENSG00000034152,MAP2K3,test,0,unlabeled_background,,
ENSG00000034239,EFCAB1,train,0,unlabeled_background,,
ENSG00000034510,TMSB10,train,0,unlabeled_background,,
ENSG00000034533,ASTE1,validation,0,unlabeled_background,,
ENSG00000034677,RNF19A,train,0,unlabeled_background,,
ENSG00000034693,PEX3,train,0,unlabeled_background,,
ENSG00000034713,GABARAPL2,test,0,unlabeled_background,,
ENSG00000035115,SH3YL1,validation,0,unlabeled_background,,
ENSG00000035141,FAM136A,train,0,unlabeled_background,,
ENSG00000035403,VCL,train,0,unlabeled_background,,
ENSG00000035499,DEPDC1B,validation,0,unlabeled_background,,
ENSG00000035664,DAPK2,test,0,unlabeled_background,,
ENSG00000035681,NSMAF,train,0,unlabeled_background,,
ENSG00000035687,ADSS,train,0,unlabeled_background,,
ENSG00000035862,TIMP2,train,0,unlabeled_background,,
ENSG00000035928,RFC1,train,0,unlabeled_background,,
ENSG00000036054,TBC1D23,test,0,unlabeled_background,,
ENSG00000036257,CUL3,train,0,unlabeled_background,,
ENSG00000036448,MYOM2,train,0,unlabeled_background,,
ENSG00000036530,CYP46A1,validation,0,unlabeled_background,,
ENSG00000036549,ZZZ3,train,0,unlabeled_background,,
ENSG00000036565,SLC18A1,train,0,unlabeled_background,,
ENSG00000036672,USP2,validation,0,unlabeled_background,,
ENSG00000037042,TUBG2,train,0,unlabeled_background,,
ENSG00000037241,RPL26L1,train,0,unlabeled_background,,
ENSG00000037280,FLT4,train,0,unlabeled_background,,
ENSG00000037474,NSUN2,train,0,unlabeled_background,,
ENSG00000037637,FBXO42,train,0,unlabeled_background,,
ENSG00000037749,MFAP3,train,0,unlabeled_background,,
ENSG00000037757,MRI1,train,0,unlabeled_background,,
ENSG00000037897,METTL1,train,0,unlabeled_background,,
ENSG00000038002,AGA,train,0,unlabeled_background,,
ENSG00000038210,PI4K2B,train,0,unlabeled_background,,
ENSG00000038219,BOD1L1,train,0,unlabeled_background,,
ENSG00000038274,MAT2B,validation,0,unlabeled_background,,
ENSG00000038358,EDC4,train,0,unlabeled_background,,
ENSG00000038382,TRIO,train,0,unlabeled_background,,
ENSG00000038427,VCAN,test,0,unlabeled_background,,
ENSG00000038532,CLEC16A,test,0,unlabeled_background,,
ENSG00000039068,CDH1,test,0,unlabeled_background,,
ENSG00000039123,SKIV2L2,train,0,unlabeled_background,,
ENSG00000039139,DNAH5,train,0,unlabeled_background,,
ENSG00000039319,ZFYVE16,train,0,unlabeled_background,,
ENSG00000039523,FAM65A,train,0,unlabeled_background,,
ENSG00000039560,RAI14,test,0,unlabeled_background,,
ENSG00000039650,PNKP,train,0,unlabeled_background,,
ENSG00000040199,PHLPP2,train,0,unlabeled_background,,
ENSG00000040275,SPDL1,train,0,unlabeled_background,,
ENSG00000040341,STAU2,test,0,unlabeled_background,,
ENSG00000040487,PQLC2,validation,0,unlabeled_background,,
ENSG00000040531,CTNS,train,0,unlabeled_background,,
ENSG00000040608,RTN4R,test,0,unlabeled_background,,
ENSG00000040633,PHF23,validation,0,unlabeled_background,,
